CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400165,1.0,46.0,,30.0,2.0,18,0,4.0,,12,0,0,,,1
201400165,2.0,23.0,,30.0,2.0,18,0,4.0,,12,0,0,,,2
201400166,2.0,29.0,,45.0,2.0,50,0,4.0,,12,0,0,,,1
201400166,,,,,,0,0,,,0,0,0,,,2
201400167,2.0,25.0,,30.0,2.0,17,0,4.0,,12,0,0,,,1
201400167,1.0,66.0,,30.0,2.0,7,0,4.0,,12,0,0,,,2
201400168,1.0,62.0,,45.0,2.0,11,0,4.0,,12,0,0,,,1
201400168,1.0,30.0,,25.0,2.0,18,0,4.0,,12,0,0,,,2
201400169,2.0,41.0,,25.0,2.0,23,7,4.0,,12,0,0,,,1
201400169,1.0,61.0,,25.0,2.0,18,0,4.0,,12,0,0,,,2
201400170,1.0,25.0,,55.0,2.0,1,4,1.0,,12,0,0,,,1
201400170,,,,,,0,0,,,0,0,0,,,2
201400172,1.0,83.0,,50.0,2.0,23,4,4.0,,12,0,0,,,1
201400173,1.0,37.0,,40.0,2.0,5,0,4.0,,12,0,0,,,1
201400173,1.0,62.0,,40.0,2.0,18,0,4.0,,12,0,0,,,2
201400174,1.0,19.0,,60.0,2.0,4,0,4.0,,12,0,0,,,1
201400174,,,,,,0,0,,,0,0,0,,,2
201400174,1.0,20.0,,,2.0,18,0,4.0,,12,0,0,,,3
201400176,1.0,33.0,,60.0,1.0,50,7,4.0,,12,0,0,,,1
201400176,2.0,35.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400178,2.0,83.0,,35.0,1.0,23,0,4.0,,0,12,0,,,1
201400178,2.0,35.0,,35.0,1.0,18,0,4.0,,12,0,0,,,2
201400179,1.0,77.0,,30.0,2.0,18,0,4.0,,12,0,0,,,1
201400179,1.0,75.0,,30.0,2.0,18,0,4.0,,12,0,0,,,2
201400180,1.0,56.0,,60.0,1.0,17,0,4.0,,12,0,0,,,1
201400180,,,,,,15,0,,,0,0,0,,,2
201400181,1.0,47.0,,60.0,2.0,4,0,4.0,,12,0,0,,,1
201400181,2.0,23.0,,60.0,2.0,52,0,4.0,,12,0,0,,,2
201400181,1.0,41.0,,,2.0,52,0,4.0,,12,0,0,,,3
201400182,1.0,57.0,,40.0,6.0,4,5,4.0,,12,0,0,,,1
201400182,1.0,31.0,,40.0,6.0,18,0,4.0,,12,0,0,,,2
201400182,,,,,,0,0,,,0,0,0,,,3
201400183,1.0,36.0,,60.0,1.0,4,0,4.0,,12,0,0,,,1
201400183,1.0,32.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400185,2.0,75.0,,,1.0,17,23,4.0,,12,0,0,,,1
201400185,,,,,,0,0,,,0,0,0,,,2
201400190,2.0,60.0,,60.0,1.0,5,0,4.0,,12,0,0,,,1
201400190,2.0,48.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
